tot_commits,n
1,547
2,191
3,90
4,59
5,37
6,36
7,25
8,16
9,13
10,28
11,13
12,9
13,9
14,8
15,12
16,2
17,5
18,7
19,2
20,1
21,3
22,3
23,1
24,2
25,1
26,4
27,2
28,4
29,2
30,2
31,2
32,1
34,2
37,2
40,3
42,2
43,2
44,2
46,1
48,2
50,1
51,1
53,2
55,1
56,2
58,2
63,2
65,1
67,2
69,1
70,1
73,1
78,2
82,1
95,1
99,1
103,1
105,1
106,1
108,1
117,1
119,2
123,1
124,1
126,1
134,1
138,1
154,1
179,1
206,1
225,1
236,2
242,1
272,1
278,1
337,1
405,1
530,1
591,1
608,1
626,1
627,1
675,1
997,1
1213,1
1977,1
2198,1
3277,1
3810,1
4751,1
4831,1
5196,1
6809,1
23479,1
