pkg,release,release_maj,release_1st
AmesHousing,136,NA,1137
applicable,117,NA,165
asciicast,329,329,329
assertthat,596,1305,2528
available,476,1085,1085
babynames,664,664,2299
backports,4,4,1722
baguette,9,9,206
bench,297,301,894
bigrquery,32,182,2124
blob,290,486,1409
brio,67,67,225
broom,17,120,2175
butcher,288,455,455
callr,24,29,1602
caret,231,231,4781
carrier,752,752,752
cleancall,299,536,536
cli,25,25,1097
cliapp,30,691,691
clisymbols,1265,1265,1978
conf,74,74,980
conflicted,503,783,890
corrr,229,483,1582
covr,51,245,1997
cpp11,1,88,119
crayon,1147,1981,2236
credentials,108,108,609
Cubist,301,1074,3481
DBI,327,327,6897
DBItest,326,326,1627
dbplyr,3,3,1246
debugme,1111,1111,1466
decor,129,129,129
desc,920,920,1638
devoid,95,553,553
devtools,49,209,3425
dials,51,NA,816
diffviewer,57,57,57
discrim,9,122,392
downlit,2,42,66
dplyr,80,161,2486
dtplyr,288,360,1593
ellipsis,175,413,798
embed,20,165,784
err,561,561,739
evaluate,528,528,3758
fastmap,395,467,467
filelock,763,NA,1003
fontquiver,1375,1471,1524
forcats,250,250,1530
fs,98,98,1022
gapminder,1102,1102,2061
gargle,184,184,522
generics,6,6,742
gert,23,29,506
ggplot2,140,246,4907
ggstance,218,1451,1451
gh,287,287,1209
gitcreds,0,0,0
glue,71,217,1299
gmailr,441,441,2295
googledrive,185,445,1166
googlesheets4,182,182,368
gtable,592,592,2985
hardhat,127,326,326
haven,158,166,2077
here,1258,1258,1258
hms,302,486,1649
httr,108,696,3106
infer,115,406,1033
io,325,1026,2345
keyring,844,844,1154
later,154,154,1230
lazyeval,602,1608,2228
lifecycle,245,245,463
lintr,261,402,2167
liteq,609,609,1379
lobstr,492,506,733
lubridate,151,1104,3736
magrittr,2176,2176,2446
memoise,1295,1295,3717
mockery,430,1095,1473
modeldata,15,15,336
modeldb,270,475,914
modelr,171,1528,1528
nycflights13,417,864,2299
odbc,10,10,1370
oskeyring,7,7,7
pak,626,NA,626
parsnip,10,211,725
pillar,119,545,1082
pingr,137,382,2237
pkgbuild,116,116,863
pkgcache,26,122,676
pkgconfig,411,1938,1943
pkgdown,55,60,918
pkgload,161,161,853
plsmod,9,30,206
plyr,248,2892,4420
poissonreg,9,9,206
presser,135,135,184
prettycode,326,326,1379
prettyunits,287,302,2216
probably,154,NA,689
processx,64,492,1256
progress,540,876,1987
ps,30,30,838
purrr,203,649,1866
purrrlyr,188,NA,1287
R6,9,9,2304
ragg,32,32,480
rappdirs,1684,2257,2257
rcmdcheck,549,779,1684
readr,32,32,2039
readxl,604,630,2033
recipes,20,1198,1198
rematch2,189,484,1235
remotes,108,108,1519
reprex,540,540,1396
repurrrsive,480,480,1155
reshape,745,4871,5572
rlang,29,500,1280
RMariaDB,71,1061,1129
RMySQL,237,2132,7581
roxygen2,132,240,3394
roxygen2md,508,508,508
RPostgres,39,324,1066
rprojroot,1038,1038,1686
rray,472,472,472
rsample,44,NA,1217
RSQLite,37,304,6943
rules,9,9,170
rvest,104,1872,2177
scales,178,354,3333
secret,183,183,1238
sessioninfo,732,773,1234
showimage,1017,1017,1017
sloop,628,738,738
stringr,635,635,4015
styler,257,269,1061
svglite,122,1464,1795
systemfonts,38,66,497
testthat,6,6,4007
textrecipes,120,120,690
textshaping,29,50,50
themis,84,298,298
tibble,25,221,1690
tidymodels,115,264,833
tidyposterior,148,NA,1088
tidypredict,9,483,1024
tidyr,71,170,2300
tidyselect,178,178,1201
tidyverse,351,351,1519
tracer,1378,1378,1378
tune,121,218,269
usemodels,45,NA,45
usethis,50,211,1111
vctrs,69,178,708
vdiffr,31,674,1459
vroom,37,84,552
waldo,22,116,204
whoami,578,578,1977
withr,45,45,NA
workflows,29,52,312
xml2,197,219,2027
xmlparsedata,67,1631,1631
xopen,781,781,781
yardstick,116,NA,1090
ymlthis,276,401,401
zeallot,1013,1013,1379
zip,71,88,1291
